date,sg_gdp,hk_gdp_growth,us_gdp_growth,sti_close,sg_cpi,iip,rsi,total_tourists,total_nodx
1997-03-31,41566.8,1.5,1.2456,2161.7333170572915,62.7,31.366666666666664,49.219,1898974.0,20542470.0
1997-06-30,42937.1,1.9,1.86747,2019.2666829427083,63.0,32.699999999999996,46.121,1881027.0,22565660.0
1997-09-30,43615.3,0.5,1.69035,1909.13330078125,63.6,35.96666666666667,48.71,1824733.0,23597897.0
1997-12-31,43258.7,-2.7,1.18996,1592.1666666666667,63.8,35.9,46.53,1603523.0,24917677.0
1998-03-31,42144.3,-2.4,1.14732,1501.5,63.4,33.46666666666667,44.427,1523466.0,22750082.0
1998-06-30,41830.6,-1.7,1.16415,1271.6633707682292,63.1,32.666666666666664,45.438,1603639.0,22528224.0
1998-09-30,41485.7,-1.6,1.68788,953.4266560872396,63.0,34.43333333333333,43.028,1547340.0,23928547.0
1998-12-31,42225.7,-0.9,1.89554,1337.9666748046875,62.9,34.9,46.338,1575771.0,23237865.0
1999-03-31,42973.1,1.0,1.26631,1452.7867024739583,62.9,35.666666666666664,47.041,1663386.0,22020229.0
1999-06-30,44059.2,2.2,1.21687,1985.9166259765625,63.1,37.5,49.984,1729937.0,24846578.0
1999-09-30,44901.5,2.0,1.68394,2094.9566650390625,63.2,40.36666666666667,53.94,1748233.0,26081589.0
1999-12-31,45276.7,2.8,2.20451,2254.6199951171875,63.2,40.73333333333333,57.373,1823680.0,28233280.0
2000-03-31,46764.0,3.0,1.03039,2161.1233723958335,63.6,40.4,60.473,1873441.0,25212565.0
2000-06-30,47666.1,0.1,2.45488,1999.0700276692708,63.6,42.666666666666664,64.149,1917398.0,27103447.0
2000-09-30,49242.2,1.2,0.68742,2065.336669921875,64.1,46.53333333333333,66.494,1934220.0,30731166.0
2000-12-31,49548.7,0.7,1.13953,1951.8666585286458,64.4,48.4,70.013,1950164.0,30023013.0
2001-03-31,49193.9,-0.3,0.33047,1870.9600016276042,64.7,41.5,73.972,1933786.0,26110579.0
2001-06-30,47929.5,-0.1,1.22986,1702.0900065104167,64.7,38.833333333333336,69.887,1900130.0,24544314.0
2001-09-30,46878.8,-0.1,-0.00925,1534.8933512369792,64.7,37.53333333333333,67.768,1915224.0,22017959.0
2001-12-31,47181.2,-0.6,0.58921,1489.9933268229167,64.3,39.36666666666667,71.058,1759320.0,24032698.0
2002-03-31,48589.8,0.1,1.15412,1768.5633138020833,64.2,39.6,71.644,1880427.0,22184231.0
2002-06-30,50000.0,1.5,0.96407,1650.0633138020833,64.4,44.1,65.798,1896924.0,24440395.0
2002-09-30,50040.6,1.6,0.88708,1449.7200113932292,64.4,43.46666666666667,67.691,1866663.0,25571059.0
2002-12-31,49966.3,0.7,0.7046,1398.6433512369792,64.4,43.333333333333336,74.722,1923521.0,26363569.0
2003-03-31,50602.0,-0.1,1.01882,1277.7032877604167,64.6,42.03333333333333,71.526,1855703.0,29169562.0
2003-06-30,49921.5,-2.4,1.2407,1359.4066569010417,64.5,41.333333333333336,72.515,722166.0,29573737.5
2003-09-30,52758.6,6.1,2.24439,1596.3066813151042,64.7,44.93333333333334,75.205,1640121.0,31379208.5
2003-12-31,54270.4,1.1,1.77722,1734.07666015625,64.8,47.333333333333336,84.985,1896785.0,32976570.5
2004-03-31,55875.5,2.9,1.28449,1865.3033447265625,65.4,46.36666666666667,88.767,1912128.0,32813767.4
2004-06-30,56744.0,1.8,1.5882,1822.8966878255208,65.7,49.56666666666666,82.689,2058125.0,34847224.4
2004-09-30,57157.0,1.1,1.58916,1931.5966389973958,65.9,49.93333333333334,82.461,2122778.0,37789676.0
2004-12-31,58475.2,2.0,1.80334,2024.8299560546875,65.9,54.06666666666666,91.721,2223374.0,37450171.5
2005-03-31,58907.9,1.1,1.9164,2119.0499674479165,65.6,47.9,94.64,2075459.0,35381403.0
2005-06-30,60391.4,3.1,1.21694,2166.5599772135415,65.7,52.46666666666667,91.149,2219664.0,35599406.2
2005-09-30,61871.1,1.9,1.70233,2311.0432942708335,66.2,56.73333333333333,91.45,2315198.0,39279560.1
2005-12-31,63863.9,1.2,1.38147,2288.1200358072915,66.6,61.9,99.465,2319329.0,44416756.2
2006-03-31,64987.4,2.2,2.06358,2475.8133138020835,66.5,56.76666666666667,99.998,2378108.0,41327436.4
2006-06-30,65714.2,1.0,1.13436,2476.6566569010415,66.5,58.699999999999996,99.174,2433448.0,40904942.0
2006-09-30,66961.6,1.8,0.84898,2498.893310546875,66.7,62.53333333333334,96.326,2428857.0,41773177.0
2006-12-31,69557.6,1.6,1.22112,2842.0367024739585,67.0,67.10000000000001,107.388,2506358.0,43779326.3
2007-03-31,70566.9,1.4,1.25425,3153.6499837239585,66.4,60.4,107.191,2498074.0,42202272.0
2007-06-30,72209.6,1.6,1.31145,3473.5399576822915,67.3,63.06666666666666,107.211,2553260.0,41516446.3
2007-09-30,74131.0,1.9,1.12508,3548.9332682291665,68.8,69.86666666666666,98.215,2576280.0,44317825.4
