ds,hk_gdp_growth,us_gdp_growth,rsi,us_gdp_growth_lag3,sti_close_lag4,sg_gdp_lag4,sti_close_qoq_pct,sg_gdp_qoq_pct,us_gdp_growth_rollmean2,sg_cpi_rollmean2,iip_rollstd2,iip_rollmean4,iip_rollstd4,rsi_rollstd2,total_tourists_rollstd2,sg_gdp_rollmean2
2025-06-30,0.363242730720607,1.22114636852086,106.54979124525917,1.2322807206005004,3553.30963744495,138085.2724770642,0.01143145900428375,0.008720200501827322,1.2286677461389959,96.50798745173745,3.4933873386239434,124.36026688907424,4.375946936082049,4.649835225430605,220620.1127606944,141833.2171573359
2025-09-30,0.3582507152837848,1.2222801008051103,106.89777718078383,1.23361348051304,3570.419120990356,139049.64432026687,0.011456125390713418,0.008674212395417527,1.2299274842185735,96.8498560665596,3.5098236592910728,125.23794983056453,4.394336250624805,4.676069504314631,222402.21002673876,142803.54582699796
2025-12-31,0.3532586998469627,1.223413833089361,107.24576311630848,1.2349462404255798,3587.5286045357625,140014.01616346953,0.011480791777143083,0.008628224289007731,1.2311872222981513,97.19172468138176,3.526259979958202,126.11563277205481,4.412725565167561,4.702303783198656,224184.3072927831,143773.87449666002
2026-03-31,0.3482666844101405,1.2245475653736113,107.59374905183313,1.2362790003381194,3604.6380880811685,140978.3880066722,0.01150545816357275,0.008582236182597937,1.2324469603777288,97.53359329620392,3.542696300625332,126.99331571354509,4.431114879710316,4.728538062082682,225966.40455882752,144744.20316632208
2026-06-30,0.3432746689733184,1.2256812976578617,107.94173498735779,1.2376117602506593,3621.7475716265744,141942.75984987488,0.011530124550002418,0.008536248076188142,1.2337066984573066,97.87546191102606,3.5591326212924614,127.87099865503536,4.4495041942530715,4.754772340966706,227748.50182487187,145714.53183598418
2026-09-30,0.3382826535364962,1.2268150299421121,108.28972092288244,1.238944520163199,3638.8570551719804,142907.13169307756,0.011554790936432083,0.008490259969778346,1.2349664365368842,98.21733052584821,3.575568941959591,128.74868159652567,4.467893508795828,4.781006619850732,229530.59909091622,146684.86050564627
2026-12-31,0.3332906380996742,1.2279487622263625,108.63770685840709,1.2402772800757387,3655.9665387173864,143871.50353628022,0.01157945732286175,0.00844427186336855,1.236226174616462,98.55919914067037,3.5920052626267207,129.62636453801593,4.486282823338583,4.807240898734758,231312.69635696057,147655.18917530833
2027-03-31,0.32829862266285204,1.2290824945106131,108.98569279393175,1.2416100399882786,3673.0760222627923,144835.87537948287,0.011604123709291418,0.008398283756958756,1.2374859126960396,98.90106775549253,3.6084415832938506,130.5040474795062,4.5046721378813395,4.833475177618784,233094.79362300492,148625.5178449704
2027-06-30,0.3233066072260299,1.2302162267948635,109.3336787294564,1.2429427999008182,3690.1855058081983,145800.24722268555,0.011628790095721084,0.008352295650548961,1.2387456507756174,99.24293637031468,3.62487790396098,131.3817304209965,4.523061452424095,4.8597094565028085,234876.89088904927,149595.8465146325
2027-09-30,0.31831459178920773,1.231349959079114,109.68166466498104,1.244275559813358,3707.2949893536043,146764.61906588823,0.011653456482150751,0.008306307544139165,1.240005388855195,99.58480498513683,3.6413142246281094,132.25941336248678,4.54145076696685,4.885943735386833,236658.98815509363,150566.17518429458
2027-12-31,0.3133225763523856,1.2324836913633643,110.0296506005057,1.2456083197258976,3724.40447289901,147728.9909090909,0.011678122868580419,0.008260319437729369,1.2412651269347728,99.926673599959,3.6577505452952392,133.13709630397705,4.559840081509606,4.912178014270859,238441.08542113798,151536.50385395664
2028-03-31,0.30833056091556343,1.233617423647615,110.37763653603035,1.2469410796384375,3741.513956444416,148693.36275229356,0.011702789255010084,0.008214331331319574,1.2425248650143503,100.26854221478115,3.6741868659623687,134.01477924546734,4.578229396052362,4.938412293154885,240223.18268718233,152506.8325236187
2028-06-30,0.3033385454787413,1.2347511559318654,110.725622471555,1.2482738395509771,3758.623439989823,149657.7345954962,0.011727455641439751,0.00816834322490978,1.243784603093928,100.6104108296033,3.6906231866294985,134.89246218695763,4.596618710595118,4.964646572038911,242005.27995322668,153477.16119328077
2028-09-30,0.29834653004191913,1.2358848882161158,111.07360840707966,1.2496065994635168,3775.732923535229,150622.1064386989,0.011752122027869419,0.008122355118499985,1.2450443411735057,100.95227944442546,3.707059507296628,135.7701451284479,4.615008025137874,4.990880850922935,243787.37721927103,154447.48986294286
2028-12-31,0.293354514605097,1.2370186205003662,111.42159434260431,1.2509393593760565,3792.842407080635,151586.47828190157,0.011776788414299084,0.00807636701209019,1.2463040792530833,101.29414805924762,3.7234958279637578,136.64782806993819,4.633397339680629,5.017115129806961,245569.47448531538,155417.81853260496
2029-03-31,0.28836249916827483,1.2381523527846165,111.76958027812896,1.2522721192885964,3809.951890626041,152550.85012510425,0.011801454800728752,0.008030378905680393,1.247563817332661,101.63601667406977,3.739932148630887,137.52551101142848,4.651786654223384,5.043349408690986,247351.57175135973,156388.14720226702
2029-06-30,0.2833704837314527,1.2392860850688672,112.11756621365362,1.253604879201136,3827.061374171447,153515.2219683069,0.01182612118715842,0.007984390799270599,1.2488235554122387,101.97788528889191,3.7563684692980166,138.40319395291874,4.670175968766141,5.069583687575012,249133.66901740409,157358.47587192908
2029-09-30,0.27837846829463053,1.2404198173531176,112.46555214917827,1.2549376391136757,3844.170857716853,154479.59381150955,0.011850787573588085,0.007938402692860804,1.2500832934918165,102.31975390371407,3.7728047899651465,139.280876894409,4.688565283308896,5.0958179664590375,250915.76628344844,158328.80454159118
2029-12-31,0.2733864528578084,1.241553549637368,112.81353808470291,1.2562703990262154,3861.280341262259,155443.96565471223,0.011875453960017752,0.007892414586451008,1.251343031571394,102.66162251853623,3.789241110632276,140.15855983589933,4.706954597851652,5.122052245343063,252697.8635494928,159299.13321125327
2030-03-31,0.26839443742098623,1.2426872819216184,113.16152402022757,1.2576031589387553,3878.389824807665,156408.3374979149,0.01190012034644742,0.007846426480041212,1.2526027696509718,103.00349113335838,3.8056774312994057,141.0362427773896,4.725343912394408,5.148286524227088,254479.96081553714,160269.46188091533
2030-06-30,0.2634024219841641,1.243821014205869,113.50950995575222,1.258935918851295,3895.499308353071,157372.7093411176,0.011924786732877085,0.007800438373631418,1.2538625077305494,103.34535974818053,3.822113751966535,141.91392571887985,4.743733226937163,5.174520803111113,256262.0580815815,161239.7905505774
2030-09-30,0.25841040654734193,1.2449547464901194,113.85749589127687,1.2602686787638346,3912.6087918984767,158337.08118432024,0.011949453119306752,0.007754450267221623,1.2551222458101272,103.6872283630027,3.838550072633665,142.79160866037014,4.762122541479918,5.200755081995139,258044.15534762584,162210.11922023946
2030-12-31,0.2534183911105198,1.2460884787743698,114.20548182680153,1.2616014386763745,3929.7182754438827,159301.45302752292,0.01197411950573642,0.0077084621608118275,1.2563819838897048,104.02909697782485,3.8549863933007944,143.66929160186044,4.780511856022675,5.226989360879164,259826.2526136702,163180.44788990155
